GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-loan,com.nttdata.bootcamp.msloan.util,Constants,3,0,0,0,1,0,1,0,1,0
ms-loan,com.nttdata.bootcamp.msloan,MsLoanApplication,5,3,0,0,2,1,1,1,1,1
ms-loan,com.nttdata.bootcamp.msloan.exception,ResourceNotFoundException,73,0,0,0,14,0,9,0,9,0
ms-loan,com.nttdata.bootcamp.msloan.exception,BlogAppException,26,0,0,0,8,0,6,0,6,0
ms-loan,com.nttdata.bootcamp.msloan.exception,GlobalExceptionHandler,126,7,0,0,20,2,10,2,10,2
ms-loan,com.nttdata.bootcamp.msloan.config,WebClientConfig,146,0,24,0,10,0,24,0,12,0
ms-loan,com.nttdata.bootcamp.msloan.producer,LoanProducer,18,10,0,0,4,2,1,2,1,2
ms-loan,com.nttdata.bootcamp.msloan.producer,LoanProducer.new ListenableFutureCallback() {...},21,0,0,0,5,0,3,0,3,0
ms-loan,com.nttdata.bootcamp.msloan.application,LoanServiceImpl,625,7,50,0,133,2,52,2,27,2
ms-loan,com.nttdata.bootcamp.msloan.model,Credit,144,0,0,0,16,0,26,0,26,0
ms-loan,com.nttdata.bootcamp.msloan.model,Loan,130,0,0,0,16,0,27,0,27,0
ms-loan,com.nttdata.bootcamp.msloan.model,Client.ClientBuilder,45,0,0,0,1,0,7,0,7,0
ms-loan,com.nttdata.bootcamp.msloan.model,Client,50,0,0,0,8,0,11,0,11,0
ms-loan,com.nttdata.bootcamp.msloan.model,Loan.LoanBuilder,117,0,0,0,1,0,15,0,15,0
ms-loan,com.nttdata.bootcamp.msloan.model,Movement.MovementBuilder,108,0,0,0,1,0,14,0,14,0
ms-loan,com.nttdata.bootcamp.msloan.model,Credit.CreditBuilder,108,0,0,0,1,0,14,0,14,0
ms-loan,com.nttdata.bootcamp.msloan.model,Movement,120,0,0,0,15,0,25,0,25,0
ms-loan,com.nttdata.bootcamp.msloan.controller,LoanController,137,3,0,0,23,1,13,1,13,1
ms-loan,com.nttdata.bootcamp.msloan.infrastructure,MovementRepository,58,7,0,0,11,2,6,2,6,2
ms-loan,com.nttdata.bootcamp.msloan.infrastructure,ClientRepository,46,3,0,0,7,1,5,1,5,1
ms-loan,com.nttdata.bootcamp.msloan.infrastructure,CreditRepository,60,7,0,0,13,2,6,2,6,2
ms-loan,com.nttdata.bootcamp.msloan.dto,ErrorDetail,36,0,0,0,10,0,8,0,8,0
ms-loan,com.nttdata.bootcamp.msloan.dto,LoanDto.LoanDtoBuilder,126,0,0,0,1,0,16,0,16,0
ms-loan,com.nttdata.bootcamp.msloan.dto,LoanDto,278,0,4,0,48,0,37,0,35,0
